IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
3820-25-LE26;ADQUISICION Y RENOVACION DE LICENCIAS DE SOFTWARE;LE;Publicada y disponible para ofertar;26/08/2026 11:48:20;Renovación de 06 unidades de Licencia de AUTOCAD 2026 o 2027 Including Specializad toolsets  Ad Commercial New Including Specialized toolsets Ad Commercial New Single-user y una (01)  nueva Licencia de AUTOCAD 2026 o 2027 Including Specializad toolsets Ad Commercial New Including Specialized toolsets Ad Commercial New Single-user;CLP;PUBLICADO;DISPONIBLE;16.000.000;I MUNICIPALIDAD DE SANTA MARIA
610-16-LP26;Adquisición de productos y servicios destinados a la “Implementación de software para nueva Plataforma de Virtualización”.;LP;Publicada y disponible para ofertar;19/08/2026 11:26:34;La presente iniciativa tiene por objeto adquirir licenciamiento para implementar un Nuevo Clúster de Infraestructura Virtual de Servidores. La nueva solución deberá garantizar, como estándar mínimo, la equivalencia funcional y técnica de la infraestructura actual, incorporando además las capacidades operativas y de seguridad que demande el estado del arte y la evolución tecnológica reciente.;CLP;PUBLICADO;DISPONIBLE;124.000.000;Comisión Nacional de Energía
1020-38-LP26;Adquisición de Plataforma Next Generation Firewall;LP;Publicada y disponible para ofertar;18/08/2026 10:37:47;Se requiere adquirir una solución consistente en dos 2 Firewall de Seguridad en alta disponibilidad, con la capacidad de crear instancias virtuales de NGFW, que deben proveer funcionalidades de IPS, filtrado de URL, control de identidad, control de QoS, protección de malware y seguridad DNS. Lo anterior administrado a través de una sola consola, además de incluir soporte 7X24 por 1 año de misión critica. Esta solución debe incluir el proceso de migración de firewall de datacenter.;CLP;PUBLICADO;ESTIMADO;240.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1020-37-LE26;Soporte de Licencias Redhat Openshift;LE;Publicada y disponible para ofertar;17/08/2026 16:12:52;El objetivo es la renovación del Soporte de Licencias Redhat Openshift para proyecto Gestión de Contenedores Cloud del Ministerio de Obras Públicas, existentes, con el propósito de mantener vigente su plataforma tecnológica y aplicar las actualizaciones, cuando estén disponibles.;CLP;PUBLICADO;ESTIMADO;60.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
2239-2-LR26;Convenio Marco Desarrollo de software;LR;Publicada y disponible para ofertar;14/07/2026 17:42:00;Convenio Marco para la adquisición de los Servicios de Desarrollo y Mantención de Software, Servicios Profesionales TI y Cloud Computing;UTM;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;DIRECCION DE COMPRAS Y CONTRATACION PUBLICA
1020-35-LR26;Serv Ingeniería y Licencias para Renovación Máximo;LR;Publicada y disponible para ofertar;04/08/2026 15:13:00;La incorporación de un sistema de clase mundial ha apoyado la administración y mantenimiento de los activos lineales y puntuales, además de un mejoramiento en los procesos administrativos del patrimonio público vial, en el levantamiento de las necesidades de mantenimiento, de la planificación técnica y presupuestaria, de la programación de las actividades de mantenimiento.;USD;PUBLICADO;ESTIMADO;2.602.811,00;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1592-11-LE26;Renovación de Licencias tecnológicas;LE;Publicada y disponible para ofertar;19/08/2026 13:08:14;Las licencias Adobe Creative Cloud, Adobe Stock y Adobe Acrobat Pro forman parte integral del ecosistema tecnológico de la SPS y constituyen herramientas esenciales para el cumplimiento de funciones. Las licencias Cisco Meraki requeridas forman parte integral de la infraestructura tecnológica de la SPS, permitiendo la administración centralizada, monitoreo permanente y control de la red.;USD;PUBLICADO;DISPONIBLE;31.100,00;SUBSECRETARIA DE PREVISION SOCIAL
1605-46-LP26;LP-5087 Renovación Licencias IBM CMOD;LP;Publicada y disponible para ofertar;25/08/2026 10:59:01;El objeto de la presente licitación es contratar la renovación del licenciamiento IBM Content Manager OnDemand, CMOD para ambientes productivos y los servicios especializados requeridos para su administración, monitoreo, soporte y mantenimiento, por un período de 36 meses. Más servicio especializado.;USD;PUBLICADO;ESTIMADO;188.468,00;SERVICIO DE IMPUESTOS INTERNOS DIRECCION
885-74-LP26;Servicio de actualización de software arquitectura y migración de base de datos del Sistema DIP.;LP;Publicada y disponible para ofertar;12/08/2026 10:05:17;La Contraloría General de la República requiere contratar el servicio de actualización de software, arquitectura y migración de base de datos del Sistema de Declaraciones de Intereses y Patrimonio — DIP.;CLP;PUBLICADO;ESTIMADO;190.000.000;CONTRALORIA GENERAL DE LA REPUBLICA
1007793-15-LE26;SOLUCIÓN INFORMÁTICA INSTITUCIONAL PARA EL CFT;LE;Publicada y disponible para ofertar;19/08/2026 12:05:52;Se requiere la adquisición de una solución informática institucional para la gestión de iniciativas de vinculación con el medio del CFT Estatal de la Región de Los Lagos.;CLP;PUBLICADO;DISPONIBLE;11.300.000;CENTRO DE FORMACION TECNICA ESTATAL DE LA REGION DE LOS LAGOS
